Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,338271,8994,145,50332.039062,0.002881
2,1000,0.5,0.2,50.0,1000,312667,8859,179,50272.812500,0.003561
3,1000,0.5,0.2,50.0,1000,341313,9198,169,51326.207031,0.003293
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.5,0.2,50.0,1000,338271,8994,145,50332.039062,0.002881
1,1000,0.5,0.2,50.0,1000,338271,8994,145,50332.039062,0.002881
2,1000,0.5,0.2,50.0,1000,312667,8859,179,50272.812500,0.003561
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,10044,2038,176,50646.496094,0.003475
2,1000,0.8,0.2,50.0,1000,10098,2033,176,50755.574219,0.003468
3,1000,0.8,0.2,50.0,1000,9852,1961,192,49581.132812,0.003872
4,1000,0.8,0.2,50.0,1000,9835,2031,169,49369.136719,0.003423
5,1000,0.8,0.2,50.0,1000,9873,1960,191,49641.292969,0.003848
6,1000,0.8,0.2,50.0,1000,9998,2009,188,50285.941406,0.003739
7,1000,0.8,0.2,50.0,1000,10098,1936,180,50947.304688,0.003533
8,1000,0.8,0.2,50.0,1000,9951,2026,193,50222.921875,0.003843
9,1000,0.8,0.2,50.0,1000,10000,1987,202,50704.308594,0.003984
10,1000,0.8,0.2,50.0,1000,10076,2018,167,50843.531250,0.003285
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,47758,8676,159,49256.109375,0.003228
2,1000,0.8,0.2,50.0,1000,48678,8830,165,50162.484375,0.003289
3,1000,0.8,0.2,50.0,1000,47342,8661,159,48659.574219,0.003268
4,1000,0.8,0.2,50.0,1000,49736,9068,188,51097.464844,0.003679
5,1000,0.8,0.2,50.0,1000,49977,9108,165,51472.121094,0.003206
6,1000,0.8,0.2,50.0,1000,48971,9009,194,50881.386719,0.003813
7,1000,0.8,0.2,50.0,1000,47666,8644,168,49277.007812,0.003409
8,1000,0.8,0.2,50.0,1000,47220,8619,145,48778.351562,0.002973
9,1000,0.8,0.2,50.0,1000,48764,8844,205,50647.324219,0.004048
10,1000,0.8,0.2,50.0,1000,48438,8826,175,49740.011719,0.003518
Run,Messages,Loss,Corruption,Time_bw_messages,Application_A,Transport_A,Transport_B,Application_B,Total_time,Throughput
1,1000,0.8,0.2,50.0,1000,92559,8693,87,49315.980469,0.001764
2,1000,0.8,0.2,50.0,1000,96075,9041,108,51119.023438,0.002113
3,1000,0.8,0.2,50.0,1000,89746,8421,64,47377.699219,0.001351
4,1000,0.8,0.2,50.0,1000,95080,8910,95,50341.312500,0.001887
5,1000,0.8,0.2,50.0,1000,92588,8707,99,49283.492188,0.002009
